"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","CNODE3",,,,"User:","attodev"
"Cmdline:","dstat -tcmndrylpg --output /opt/stack/logs/dstat-csv.log",,,,"Date:","07 Mar 2017 19:12:13 KST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out"
07-03 19:12:13,0.700,0.139,99.085,0.075,0.0,0.001,928477184.0,143052800.0,2479529984.0,63974588416.0,0.0,0.0,71795.892,733429.648,1.973,14.616,310.458,1165.736,0.370,0.400,0.330,0.000,0.0,12.662,0.0,0.0
07-03 19:12:14,6.172,1.585,91.159,1.084,0.0,0.0,983375872.0,143253504.0,2480209920.0,63918809088.0,7428.0,99606.0,0.0,2375680.0,0.0,113.0,1300.0,6350.0,0.370,0.400,0.330,1.0,0.0,120.0,0.0,0.0
07-03 19:12:15,2.178,1.256,91.792,4.606,0.0,0.168,986865664.0,143872000.0,2480873472.0,63914037248.0,3278.0,7140.0,0.0,26198016.0,0.0,484.0,1451.0,5921.0,0.500,0.430,0.340,1.0,0.0,0.0,0.0,0.0
07-03 19:12:16,3.180,1.590,91.548,3.598,0.0,0.084,938496000.0,144457728.0,2481258496.0,63961436160.0,6784.0,11286.0,0.0,7671808.0,0.0,379.0,1498.0,6060.0,0.500,0.430,0.340,1.0,0.0,98.0,0.0,0.0
07-03 19:12:17,0.333,0.333,99.252,0.083,0.0,0.0,925585408.0,144465920.0,2481090560.0,63974506496.0,590.0,0.0,0.0,143360.0,0.0,6.0,259.0,828.0,0.500,0.430,0.340,1.0,0.0,3.0,0.0,0.0
07-03 19:12:18,0.167,0.167,99.666,0.0,0.0,0.0,924520448.0,144470016.0,2481094656.0,63975563264.0,1142.0,498.0,0.0,69632.0,0.0,6.0,197.0,539.0,0.500,0.430,0.340,0.0,0.0,4.0,0.0,0.0
07-03 19:12:19,0.250,0.250,99.417,0.083,0.0,0.0,924418048.0,144474112.0,2481094656.0,63975661568.0,1770.0,0.0,0.0,61440.0,0.0,6.0,218.0,690.0,0.500,0.430,0.340,1.0,0.0,2.0,0.0,0.0
07-03 19:12:20,0.167,0.250,99.500,0.083,0.0,0.0,924160000.0,144478208.0,2481094656.0,63975915520.0,1180.0,0.0,0.0,61440.0,0.0,6.0,179.0,425.0,0.460,0.420,0.340,0.0,0.0,0.0,0.0,0.0
07-03 19:12:21,2.174,1.421,96.321,0.084,0.0,0.0,963153920.0,144482304.0,2481364992.0,63936647168.0,1532.0,1608.0,0.0,131072.0,0.0,7.0,402.0,1161.0,0.460,0.420,0.340,1.0,0.0,126.0,0.0,0.0
07-03 19:12:22,0.750,1.083,98.083,0.083,0.0,0.0,970469376.0,144494592.0,2481360896.0,63929323520.0,2768.0,8042.0,0.0,86016.0,0.0,6.0,451.0,1847.0,0.460,0.420,0.340,1.0,0.0,102.0,0.0,0.0
07-03 19:12:23,0.334,0.083,99.583,0.0,0.0,0.0,970383360.0,144498688.0,2481369088.0,63929397248.0,1180.0,0.0,0.0,61440.0,0.0,6.0,234.0,517.0,0.460,0.420,0.340,0.0,0.0,0.0,0.0,0.0
07-03 19:12:24,0.585,0.084,98.997,0.334,0.0,0.0,970379264.0,144523264.0,2481348608.0,63929397248.0,590.0,0.0,0.0,7360512.0,0.0,70.0,306.0,1147.0,0.460,0.420,0.340,0.0,0.0,0.0,0.0,0.0
07-03 19:12:25,1.168,1.084,97.498,0.250,0.0,0.0,974323712.0,144560128.0,2481348608.0,63925415936.0,858.0,7452.0,0.0,10772480.0,0.0,265.0,652.0,2266.0,0.430,0.410,0.330,0.0,0.0,108.0,0.0,0.0
07-03 19:12:26,0.333,0.083,99.500,0.083,0.0,0.0,974286848.0,144560128.0,2481385472.0,63925415936.0,1240.0,0.0,0.0,0.0,0.0,0.0,209.0,499.0,0.430,0.410,0.330,0.0,0.0,0.0,0.0,0.0
07-03 19:12:27,0.334,0.167,99.500,0.0,0.0,0.0,974413824.0,144560128.0,2481385472.0,63925288960.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,557.0,0.430,0.410,0.330,0.0,0.0,0.0,0.0,0.0
07-03 19:12:28,4.674,1.169,94.157,0.0,0.0,0.0,1005408256.0,144560128.0,2481401856.0,63894278144.0,1382.0,5230.0,0.0,0.0,0.0,0.0,598.0,2632.0,0.430,0.410,0.330,1.0,0.0,70.0,0.0,0.0
07-03 19:12:29,8.167,0.500,91.333,0.0,0.0,0.0,1027854336.0,144576512.0,2481684480.0,63871533056.0,590.0,0.0,0.0,0.0,0.0,0.0,676.0,6225.0,0.430,0.410,0.330,1.0,0.0,4.0,0.0,0.0
07-03 19:12:30,7.679,0.835,91.486,0.0,0.0,0.0,1041805312.0,144580608.0,2482110464.0,63857152000.0,1514.0,4586.0,0.0,0.0,0.0,0.0,624.0,11582.0,0.470,0.420,0.340,1.0,0.0,81.0,0.0,0.0
07-03 19:12:31,7.833,0.500,91.333,0.333,0.0,0.0,1093435392.0,144637952.0,2482073600.0,63805501440.0,1970.0,11122.0,0.0,806912.0,0.0,32.0,812.0,2619.0,0.470,0.420,0.340,1.0,0.0,4.0,0.0,0.0
07-03 19:12:32,8.0,0.667,91.333,0.0,0.0,0.0,1070870528.0,144637952.0,2482139136.0,63828000768.0,2384.0,5032.0,0.0,0.0,0.0,0.0,824.0,2504.0,0.470,0.420,0.340,1.0,0.0,65.0,0.0,0.0
07-03 19:12:33,8.0,0.583,91.417,0.0,0.0,0.0,1111691264.0,144637952.0,2482237440.0,63787081728.0,590.0,0.0,0.0,0.0,0.0,0.0,666.0,3709.0,0.470,0.420,0.340,1.0,0.0,4.0,0.0,0.0
07-03 19:12:34,8.424,0.167,91.410,0.0,0.0,0.0,1124020224.0,144637952.0,2482249728.0,63774740480.0,590.0,0.0,0.0,0.0,0.0,0.0,548.0,1621.0,0.470,0.420,0.340,2.0,0.0,2.0,0.0,0.0
